"Distance","Longitude","Latitude","Elevation","Horizon","method","ID","Range"
15295,35.32385127,32.50837936,-151.095,"eocene_Base","linear","BB'",NA
16236,35.33247175,32.50379619,-154.46,"eocene_Base","linear","BB'",NA
17513,35.34396435,32.49768438,-89.405,"eocene_Base","linear","BB'",NA
20677,35.37266764,32.48273859,-51.26,"eocene_Base","linear","BB'",NA
20683.25001,35.37266764,32.48273859,-58,"eocene_Base","Source","BB'",NA
20980.0849,35.3755182,32.48154811,-48,"eocene_Base","Source","BB'",NA
21276.96232,35.37836869,32.48035757,-48,"eocene_Base","Source","BB'",NA
21573.88052,35.3812191,32.47916697,-40,"eocene_Base","Source","BB'",NA
21870.83785,35.38406943,32.4779763,-38,"eocene_Base","Source","BB'",NA
22167.83273,35.38691969,32.47678557,-38,"eocene_Base","Source","BB'",NA
22464.86368,35.38976988,32.47559477,-39,"eocene_Base","Source","BB'",NA
22761.92927,35.39261999,32.47440391,-42,"eocene_Base","Source","BB'",NA
23059.02817,35.39547002,32.47321299,-42,"eocene_Base","Source","BB'",NA
23356.15911,35.39831998,32.472022,-44,"eocene_Base","Source","BB'",NA
23653.32088,35.40116986,32.47083094,-50,"eocene_Base","Source","BB'",NA
23950.51234,35.40401967,32.46963983,-50,"eocene_Base","Source","BB'",NA
24247.73239,35.4068694,32.46844865,-52,"eocene_Base","Source","BB'",NA
24544.97999,35.40971906,32.4672574,-64,"eocene_Base","Source","BB'",NA
24842.25416,35.41256864,32.46606609,-64,"eocene_Base","Source","BB'",NA
25139.55396,35.41541815,32.46487472,-67,"eocene_Base","Source","BB'",NA
25436.87847,35.41826758,32.46368328,-76,"eocene_Base","Source","BB'",NA
25734.22685,35.42111694,32.46249177,-76,"eocene_Base","Source","BB'",NA
26031.59829,35.42396622,32.46130021,-70,"eocene_Base","Source","BB'",NA
26328.99199,35.42681542,32.46010858,-78,"eocene_Base","Source","BB'",NA
26626.40721,35.42966455,32.45891688,-78,"eocene_Base","Source","BB'",NA
26923.84324,35.43251361,32.45772512,-68,"eocene_Base","Source","BB'",NA
27221.2994,35.43536258,32.4565333,-75,"eocene_Base","Source","BB'",NA
27518.77503,35.43821149,32.45534141,-75,"eocene_Base","Source","BB'",NA
27522,35.43821149,32.45534141,-74.82,"eocene_Base","linear","BB'",NA
27816.26952,35.44106032,32.45414946,-70,"eocene_Base","Source","BB'",NA
28113.78225,35.44390907,32.45295744,-9,"eocene_Base","Source","BB'",NA
28411.31266,35.44675774,32.45176536,-9,"eocene_Base","Source","BB'",NA
28708.8602,35.44960635,32.45057322,6,"eocene_Base","Source","BB'",NA
29006.42434,35.45245487,32.44938101,NA,"eocene_Base","Source","BB'",NA
29304.00458,35.45530332,32.44818874,NA,"eocene_Base","Source","BB'",NA
29601.60042,35.4581517,32.4469964,NA,"eocene_Base","Source","BB'",NA
29899.21141,35.461,32.445804,NA,"eocene_Base","Source","BB'",NA
30204.1371,35.46387714,32.44452336,NA,"eocene_Base","Source","BB'",NA
30509.06904,35.4667542,32.44324265,NA,"eocene_Base","Source","BB'",NA
30814.00705,35.46963118,32.44196187,NA,"eocene_Base","Source","BB'",NA
31118.95094,35.47250808,32.44068103,NA,"eocene_Base","Source","BB'",NA
31423.90055,35.47538489,32.43940013,NA,"eocene_Base","Source","BB'",NA
31728.8557,35.47826163,32.43811916,NA,"eocene_Base","Source","BB'",NA
32033.81625,35.48113828,32.43683812,NA,"eocene_Base","Source","BB'",NA
32338.78204,35.48401485,32.43555702,NA,"eocene_Base","Source","BB'",NA
32643.75292,35.48689133,32.43427586,NA,"eocene_Base","Source","BB'",NA
32948.72875,35.48976774,32.43299463,NA,"eocene_Base","Source","BB'",NA
33253.70939,35.49264407,32.43171333,NA,"eocene_Base","Source","BB'",NA
33558.69472,35.49552031,32.43043197,NA,"eocene_Base","Source","BB'",NA
33863.6846,35.49839647,32.42915054,NA,"eocene_Base","Source","BB'",NA
34168.67892,35.50127255,32.42786904,NA,"eocene_Base","Source","BB'",NA
34473.67756,35.50414855,32.42658749,NA,"eocene_Base","Source","BB'",NA
34778.6804,35.50702446,32.42530586,NA,"eocene_Base","Source","BB'",NA
35083.68733,35.5099003,32.42402417,NA,"eocene_Base","Source","BB'",NA
35388.69825,35.51277605,32.42274242,NA,"eocene_Base","Source","BB'",NA
35693.71306,35.51565172,32.4214606,NA,"eocene_Base","Source","BB'",NA
35998.73166,35.51852731,32.42017871,NA,"eocene_Base","Source","BB'",NA
36303.75394,35.52140281,32.41889676,NA,"eocene_Base","Source","BB'",NA
36608.77983,35.52427824,32.41761475,NA,"eocene_Base","Source","BB'",NA
36913.80922,35.52715358,32.41633267,NA,"eocene_Base","Source","BB'",NA
37218.84204,35.53002885,32.41505052,NA,"eocene_Base","Source","BB'",NA
37523.8782,35.53290403,32.41376831,NA,"eocene_Base","Source","BB'",NA
37828.91762,35.53577912,32.41248603,NA,"eocene_Base","Source","BB'",NA
38133.96022,35.53865414,32.41120369,NA,"eocene_Base","Source","BB'",NA
38439.00592,35.54152908,32.40992128,NA,"eocene_Base","Source","BB'",NA
38744.05466,35.54440393,32.40863881,NA,"eocene_Base","Source","BB'",NA
39049.10636,35.5472787,32.40735627,NA,"eocene_Base","Source","BB'",NA
39354.16095,35.55015339,32.40607367,NA,"eocene_Base","Source","BB'",NA
39659.21837,35.553028,32.404791,NA,"eocene_Base","Source","BB'",NA
0,35.277632,32.476107,-113,"eocene_Base","Source","CC'",NA
256.7924989,35.2801428,32.47518686,-92,"eocene_Base","Source","CC'",NA
513.5849979,35.28265356,32.47426668,-124,"eocene_Base","Source","CC'",NA
770.3774968,35.28516426,32.47334645,-124,"eocene_Base","Source","CC'",NA
1027.169996,35.28767491,32.47242616,-136,"eocene_Base","Source","CC'",NA
1283.962495,35.29018551,32.47150583,-107,"eocene_Base","Source","CC'",NA
1540.754994,35.29269606,32.47058544,-107,"eocene_Base","Source","CC'",NA
1797.547493,35.29520655,32.46966501,-103,"eocene_Base","Source","CC'",NA
2054.339991,35.297717,32.46874452,-103,"eocene_Base","Source","CC'",NA
2311.13249,35.30022739,32.46782399,-116,"eocene_Base","Source","CC'",NA
2567.924989,35.30273773,32.46690341,-119,"eocene_Base","Source","CC'",NA
2824.717488,35.30524802,32.46598277,-119,"eocene_Base","Source","CC'",NA
3081.509987,35.30775826,32.46506209,-120,"eocene_Base","Source","CC'",NA
3338.302486,35.31026845,32.46414136,-151,"eocene_Base","Source","CC'",NA
3595.094985,35.31277859,32.46322058,-141,"eocene_Base","Source","CC'",NA
3851.887484,35.31528867,32.46229974,-126,"eocene_Base","Source","CC'",NA
4108.679983,35.31779871,32.46137886,-160,"eocene_Base","Source","CC'",NA
4365.472482,35.32030869,32.46045793,-142,"eocene_Base","Source","CC'",NA
4622.264981,35.32281862,32.45953695,-142,"eocene_Base","Source","CC'",NA
4879.05748,35.3253285,32.45861591,-116,"eocene_Base","Source","CC'",NA
